,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
850,Barcelona,Xavier Hernández Creus,Complete,,"[69.0, 31.0]","[69.0, 49.0]",69.0,31.0,69.0,49.0
852,Barcelona,Xavier Hernández Creus,Complete,,"[67.0, 42.0]","[78.0, 35.0]",67.0,42.0,78.0,35.0
855,Barcelona,Xavier Hernández Creus,Complete,,"[81.0, 47.0]","[82.0, 55.0]",81.0,47.0,82.0,55.0
859,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 58.0]","[79.0, 60.0]",82.0,58.0,79.0,60.0
862,Barcelona,Xavier Hernández Creus,Complete,,"[78.0, 69.0]","[79.0, 77.0]",78.0,69.0,79.0,77.0
864,Barcelona,Xavier Hernández Creus,Complete,,"[86.0, 70.0]","[82.0, 71.0]",86.0,70.0,82.0,71.0
870,Barcelona,Xavier Hernández Creus,Incomplete,,"[120.0, 1.0]","[116.0, 38.0]",120.0,1.0,116.0,38.0
881,Barcelona,Xavier Hernández Creus,Complete,,"[79.0, 47.0]","[73.0, 47.0]",79.0,47.0,73.0,47.0
891,Barcelona,Xavier Hernández Creus,Complete,,"[75.0, 33.0]","[72.0, 47.0]",75.0,33.0,72.0,47.0
893,Barcelona,Xavier Hernández Creus,Complete,,"[68.0, 39.0]","[70.0, 65.0]",68.0,39.0,70.0,65.0
906,Barcelona,Xavier Hernández Creus,Complete,,"[100.0, 54.0]","[115.0, 55.0]",100.0,54.0,115.0,55.0
909,Barcelona,Xavier Hernández Creus,Complete,,"[116.0, 78.0]","[107.0, 77.0]",116.0,78.0,107.0,77.0
912,Barcelona,Xavier Hernández Creus,Complete,,"[98.0, 69.0]","[102.0, 78.0]",98.0,69.0,102.0,78.0
938,Barcelona,Xavier Hernández Creus,Complete,,"[36.0, 63.0]","[58.0, 68.0]",36.0,63.0,58.0,68.0
941,Barcelona,Xavier Hernández Creus,Complete,,"[52.0, 44.0]","[44.0, 47.0]",52.0,44.0,44.0,47.0
953,Barcelona,Xavier Hernández Creus,Complete,,"[86.0, 51.0]","[95.0, 66.0]",86.0,51.0,95.0,66.0
961,Barcelona,Xavier Hernández Creus,Complete,,"[65.0, 75.0]","[71.0, 78.0]",65.0,75.0,71.0,78.0
964,Barcelona,Xavier Hernández Creus,Complete,,"[68.0, 69.0]","[63.0, 78.0]",68.0,69.0,63.0,78.0
991,Barcelona,Xavier Hernández Creus,Complete,,"[54.0, 44.0]","[49.0, 41.0]",54.0,44.0,49.0,41.0
997,Barcelona,Xavier Hernández Creus,Complete,,"[54.0, 40.0]","[62.0, 45.0]",54.0,40.0,62.0,45.0
999,Barcelona,Xavier Hernández Creus,Complete,,"[58.0, 49.0]","[73.0, 70.0]",58.0,49.0,73.0,70.0
1012,Barcelona,Xavier Hernández Creus,Complete,,"[46.0, 73.0]","[44.0, 80.0]",46.0,73.0,44.0,80.0
1021,Barcelona,Xavier Hernández Creus,Complete,,"[55.0, 51.0]","[57.0, 40.0]",55.0,51.0,57.0,40.0
1031,Barcelona,Xavier Hernández Creus,Complete,,"[48.0, 43.0]","[36.0, 38.0]",48.0,43.0,36.0,38.0
1054,Barcelona,Xavier Hernández Creus,Complete,,"[78.0, 49.0]","[71.0, 76.0]",78.0,49.0,71.0,76.0
1056,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 60.0]","[65.0, 68.0]",70.0,60.0,65.0,68.0
1061,Barcelona,Xavier Hernández Creus,Complete,,"[76.0, 51.0]","[63.0, 43.0]",76.0,51.0,63.0,43.0
1090,Barcelona,Xavier Hernández Creus,Complete,,"[71.0, 39.0]","[68.0, 28.0]",71.0,39.0,68.0,28.0
1092,Barcelona,Xavier Hernández Creus,Complete,,"[73.0, 40.0]","[80.0, 35.0]",73.0,40.0,80.0,35.0
1094,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 34.0]","[72.0, 50.0]",70.0,34.0,72.0,50.0
1117,Barcelona,Xavier Hernández Creus,Complete,,"[52.0, 65.0]","[42.0, 44.0]",52.0,65.0,42.0,44.0
1119,Barcelona,Xavier Hernández Creus,Complete,,"[80.0, 56.0]","[75.0, 71.0]",80.0,56.0,75.0,71.0
1121,Barcelona,Xavier Hernández Creus,Complete,,"[78.0, 63.0]","[71.0, 69.0]",78.0,63.0,71.0,69.0
1138,Barcelona,Xavier Hernández Creus,Complete,,"[48.0, 30.0]","[17.0, 40.0]",48.0,30.0,17.0,40.0
1141,Barcelona,Xavier Hernández Creus,Complete,,"[49.0, 35.0]","[58.0, 32.0]",49.0,35.0,58.0,32.0
1185,Barcelona,Xavier Hernández Creus,Complete,,"[66.0, 69.0]","[90.0, 53.0]",66.0,69.0,90.0,53.0
1207,Barcelona,Xavier Hernández Creus,Complete,,"[48.0, 64.0]","[66.0, 52.0]",48.0,64.0,66.0,52.0
1221,Barcelona,Xavier Hernández Creus,Complete,,"[68.0, 48.0]","[65.0, 45.0]",68.0,48.0,65.0,45.0
